Financial Year,Month,Consolidated Revenue for the month,Consolidated Expenditure for the month,Consolidated Surplus/ (Deficit) for the month before issuance/ repayment of government bonds and notes ,Net proceeds from issuance of government bonds and notes for the month,Repayment of government bonds and notes for the month,Consolidated Surplus/ (Deficit) for the month after issuance/ repayment of government bonds and notes ,Financing-Domestic-Banking Sector for the month,Financing-Domestic-Non-Banking Sector for the month,Financing-External for the month,Total Financing for the month,Fiscal Reserves at start of the month,Change for the month - Consolidated Surplus / (Deficit) after issuance/ repayment of government bonds and notes,Fiscal Reserves at end of the month,Cumulative Consolidated Revenue for the financial year,Cumulative Consolidated Expenditure for the financial year,Cumulative Consolidated Surplus/ (Deficit) for the financial year before issuance/ repayment of government bonds and notes ,Net proceeds from issuance of government bonds and notes for the financial year,Repayment of government bonds and notes for the financial year,Cumulative Consolidated Surplus/ (Deficit) for the financial year after issuance/ repayment of government bonds and notes ,Cumulative Financing-Domestic-Banking Sector for the financial year,Cumulative Financing-Domestic-Non-Banking Sector  for the financial year,Cumulative Financing-External for the financial year,Cumulative Total Financing for the financial year,Fiscal Reserves at start of the financial year,Change for the financial year - Cumulative Consolidated Surplus / (Deficit) after issuance/ repayment of government bonds and notes,Fiscal Reserves at end of the financial year (up to this month)
2021-22,Apr-2021,38015.0,-48616.9,-10601.9,0.0,0.0,-10601.9,10076.6,525.3,0.0,10601.9,927776.2,-10601.9,917174.3,38015.0,-48616.9,-10601.9,0.0,0.0,-10601.9,10076.6,525.3,0.0,10601.9,927776.2,-10601.9,917174.3
2021-22,May-2021,38308.7,-48473.7,-10165.0,0.0,0.0,-10165.0,9241.8,923.2,0.0,10165.0,917174.3,-10165.0,907009.3,76323.7,-97090.6,-20766.9,0.0,0.0,-20766.9,19318.4,1448.5,0.0,20766.9,927776.2,-20766.9,907009.3
2021-22,Jun-2021,37158.2,-46884.6,-9726.4,0.0,0.0,-9726.4,9325.5,400.9,0.0,9726.4,907009.3,-9726.4,897282.9,113481.9,-143975.2,-30493.3,0.0,0.0,-30493.3,28643.9,1849.4,0.0,30493.3,927776.2,-30493.3,897282.9
2021-22,Jul-2021,33717.2,-60430.0,-26712.8,0.0,0.0,-26712.8,27792.7,-1079.9,0.0,26712.8,897282.9,-26712.8,870570.1,147199.1,-204405.2,-57206.1,0.0,0.0,-57206.1,56436.6,769.5,0.0,57206.1,927776.2,-57206.1,870570.1
2021-22,Aug-2021,29507.6,-48254.3,-18746.7,0.0,0.0,-18746.7,18319.9,426.8,0.0,18746.7,870560.9,-18746.7,851814.2,176706.7,-252659.5,-75952.8,0.0,0.0,-75952.8,74756.5,1196.3,0.0,75952.8,927767.0,-75952.8,851814.2
2021-22,Sep-2021,23554.5,-63310.4,-39755.9,0.0,0.0,-39755.9,39656.4,99.5,0.0,39755.9,851814.2,-39755.9,812058.3,200261.2,-315969.9,-115708.7,0.0,0.0,-115708.7,114412.9,1295.8,0.0,115708.7,927767.0,-115708.7,812058.3
2021-22,Oct-2021,55830.4,-51938.2,3892.2,0.0,0.0,3892.2,-3563.9,-328.3,0.0,-3892.2,812058.3,3892.2,815950.5,256091.6,-367908.1,-111816.5,0.0,0.0,-111816.5,110849.0,967.5,0.0,111816.5,927767.0,-111816.5,815950.5
2021-22,Nov-2021,69616.5,-52764.7,16851.8,29124.2,0.0,45976.0,-46017.0,41.0,0.0,-45976.0,815950.5,45976.0,861926.5,325708.1,-420672.8,-94964.7,29124.2,0.0,-65840.5,64832.0,1008.5,0.0,65840.5,927767.0,-65840.5,861926.5
2021-22,Dec-2021,176742.6,-60793.7,115948.9,0.0,0.0,115948.9,-116608.9,660.0,0.0,-115948.9,861926.5,115948.9,977875.4,502450.7,-481466.5,20984.2,29124.2,0.0,50108.4,-51776.9,1668.5,0.0,-50108.4,927767.0,50108.4,977875.4
2021-22,Jan-2022,107477.3,-60060.5,47416.8,0.0,0.0,47416.8,-46055.6,-1361.2,0.0,-47416.8,977875.4,47416.8,1025292.2,609928.0,-541527.0,68401.0,29124.2,0.0,97525.2,-97832.5,307.3,0.0,-97525.2,927767.0,97525.2,1025292.2
2021-22,Feb-2022,51813.1,-77083.4,-25270.3,0.0,0.0,-25270.3,26738.4,-1468.1,0.0,25270.3,1025292.2,-25270.3,1000021.9,661741.1,-618610.4,43130.7,29124.2,0.0,72254.9,-71094.1,-1160.8,0.0,-72254.9,927767.0,72254.9,1000021.9
2021-22,Mar-2022(provisional),31834.5,-74709.9,-42875.4,0.0,0.0,-42875.4,41362.1,1513.3,0.0,42875.4,1000021.9,-42875.4,957146.5,693575.6,-693320.3,255.3,29124.2,0.0,29379.5,-29732.0,352.5,0.0,-29379.5,927767.0,29379.5,957146.5
